"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.630317570E-1,1.046759987E1,-3.096360016E1,-3.120759964E1,4.519103293E1
7.730320010E-1,9.284199715E0,-3.084159851E1,-3.164679909E1,4.515440682E1
7.830254090E-1,1.039439964E1,-3.081719971E1,-3.017059898E1,4.436224053E1
7.930317570E-1,1.057740021E1,-3.074399948E1,-3.058539963E1,4.463789388E1
8.030317570E-1,9.491600037E0,-3.100020027E1,-3.101239967E1,4.486504008E1
8.130317570E-1,1.099219990E1,-3.043899918E1,-3.075619888E1,4.464644330E1
8.230197940E-1,1.021140003E1,-3.064639854E1,-3.036579895E1,4.433459349E1
8.330312680E-1,9.747799873E0,-3.052439880E1,-3.084159851E1,4.447429284E1
8.430317570E-1,1.162659931E1,-2.998760033E1,-3.113439941E1,4.476365503E1
8.530317570E-1,9.589200020E0,-3.032919884E1,-3.232999802E1,4.535462304E1
8.630317570E-1,1.106540012E1,-3.041459846E1,-3.129299927E1,4.501935898E1
8.730317570E-1,1.166319942E1,-2.991440010E1,-3.070739937E1,4.442798589E1
8.830190610E-1,1.177299976E1,-2.987779999E1,-3.036579895E1,4.419692525E1
8.930224790E-1,1.168760014E1,-2.959719849E1,-3.087819862E1,4.434024476E1
9.030320010E-1,1.157779980E1,-2.976799965E1,-3.010960007E1,4.389495720E1
9.130317570E-1,1.088239956E1,-2.998760033E1,-3.153699875E1,4.485827776E1
9.230317570E-1,1.185839939E1,-2.909700012E1,-3.128079987E1,4.433672848E1
9.330317570E-1,1.166319942E1,-2.973139954E1,-3.042679977E1,4.411095650E1
9.430315130E-1,1.177299976E1,-2.962159920E1,-3.074399948E1,4.428584612E1
9.530320010E-1,1.082139969E1,-3.026819992E1,-3.062199974E1,4.439564715E1
9.630190610E-1,1.151679993E1,-2.960939980E1,-3.114659882E1,4.449116603E1
9.730320010E-1,1.149240017E1,-2.942639923E1,-3.118319893E1,4.438896404E1
9.830185730E-1,1.061399937E1,-3.010960007E1,-3.114659882E1,4.460219296E1
9.930315130E-1,1.138259983E1,-2.978019905E1,-3.080500031E1,4.433251491E1
1.003031757E0,1.184619999E1,-2.941419983E1,-3.078059959E1,4.419245317E1
1.013031757E0,1.150459957E1,-2.967039871E1,-3.069519997E1,4.421406645E1
1.023031757E0,1.090679932E1,-3.017059898E1,-3.128079987E1,4.480749663E1
1.033031268E0,1.177299976E1,-2.962159920E1,-3.074399948E1,4.428584612E1
1.043031757E0,1.172420025E1,-2.976799965E1,-3.051219940E1,4.421068860E1
1.053031513E0,1.148019981E1,-2.992659950E1,-3.118319893E1,4.471899195E1
1.063031268E0,9.760000229E0,-3.063419914E1,-3.146379852E1,4.498535739E1
1.073018329E0,1.228539944E1,-2.929220009E1,-3.102459908E1,4.440146139E1
1.083018573E0,1.168760014E1,-2.998760033E1,-2.971920013E1,4.380738553E1
1.093031757E0,1.133379936E1,-2.992659950E1,-3.079279900E1,4.441005332E1
1.103032001E0,1.112639999E1,-3.001199913E1,-3.114659882E1,4.466125263E1
1.113032245E0,1.194379997E1,-2.980459976E1,-3.087819862E1,4.454696033E1
1.123032001E0,1.119960022E1,-3.010960007E1,-3.067079926E1,4.441527877E1
1.133032001E0,1.199259949E1,-2.940199852E1,-3.095139885E1,4.434285794E1
1.143032245E0,1.040660000E1,-3.050000000E1,-3.089039993E1,4.464038678E1
1.153031757E0,1.174860001E1,-2.995100021E1,-3.046339989E1,4.430700564E1
1.163032001E0,1.206579971E1,-2.999979973E1,-3.004859924E1,4.414170163E1
1.173020526E0,1.207800007E1,-2.986559868E1,-3.104899979E1,4.474228937E1
1.183019305E0,1.207800007E1,-2.993879890E1,-3.039019966E1,4.433704998E1
1.193032245E0,1.155340004E1,-3.009739876E1,-2.993879890E1,4.399620602E1
1.203032001E0,1.093120003E1,-3.073180008E1,-2.974359894E1,4.414313478E1
1.213036151E0,1.163879967E1,-2.998760033E1,-3.080500031E1,4.453836408E1
1.223032001E0,1.178520012E1,-3.030480003E1,-3.037800026E1,4.449825555E1
1.233032001E0,1.113859940E1,-2.969479942E1,-3.175659943E1,4.488130030E1
1.243032001E0,1.057740021E1,-3.042679977E1,-3.119540024E1,4.484221823E1
1.253019550E0,1.215119934E1,-2.996319962E1,-3.025599861E1,4.428171664E1
1.263032245E0,1.283440018E1,-2.954839897E1,-3.103679848E1,4.473379672E1
1.273031513E0,1.108979988E1,-2.979240036E1,-3.001199913E1,4.371831278E1
1.283031757E0,1.091899967E1,-3.047559929E1,-3.034140015E1,4.436876456E1
1.293032245E0,1.069939995E1,-3.056099892E1,-3.091479874E1,4.476803095E1
1.303031757E0,1.145580006E1,-3.007299995E1,-3.073180008E1,4.449791250E1
1.313032245E0,8.881599426E0,-3.100020027E1,-3.224459839E1,4.560273402E1
1.323019305E0,1.123619938E1,-3.047559929E1,-3.058539963E1,4.461480695E1
1.333032245E0,1.132159996E1,-3.025599861E1,-3.029259872E1,4.428595280E1
1.343032001E0,1.152899933E1,-2.985339928E1,-3.075619888E1,4.438566259E1
1.353032245E0,1.087020016E1,-3.030480003E1,-3.092700005E1,4.464326924E1
1.363032245E0,1.097999954E1,-3.045119858E1,-3.119540024E1,4.495540992E1
1.373018573E0,1.226099968E1,-3.010960007E1,-3.041459846E1,4.451929839E1
1.383032245E0,1.184619999E1,-3.040239906E1,-3.001199913E1,4.433236306E1
1.393018817E0,1.139480019E1,-3.021939850E1,-3.092700005E1,4.471613633E1
1.403032001E0,1.244399929E1,-2.959719849E1,-3.036579895E1,4.419195654E1
1.413032245E0,1.141919994E1,-3.039019966E1,-3.065859985E1,4.465324297E1
1.423032001E0,1.110200024E1,-3.008519936E1,-3.113439941E1,4.469591096E1
1.433032245E0,9.406199455E0,-3.104899979E1,-3.091479874E1,4.481341046E1
1.443032001E0,1.082139969E1,-3.008519936E1,-3.012179947E1,4.392658324E1
1.453031757E0,1.218779945E1,-3.007299995E1,-3.043899918E1,4.449112780E1
1.463019061E0,1.179739952E1,-3.030480003E1,-3.026819992E1,4.442660765E1
1.473031513E0,1.229759979E1,-2.978019905E1,-3.036579895E1,4.427384061E1
1.483032001E0,1.248059940E1,-2.988999939E1,-3.093919945E1,4.479298480E1
1.493031513E0,1.229759979E1,-2.953619957E1,-3.052439880E1,4.421941845E1
1.503032001E0,1.152899933E1,-3.028039932E1,-3.087819862E1,4.475805580E1
1.513032245E0,1.180959988E1,-3.017059898E1,-3.104899979E1,4.487507192E1
1.523032001E0,8.234999657E0,-3.145159912E1,-3.209819794E1,4.568711654E1
1.533032001E0,1.171199989E1,-3.009739876E1,-3.023159981E1,4.423769863E1
1.543032001E0,7.539599895E0,-3.235440063E1,-3.941819763E1,5.155043270E1
1.553032245E0,1.135820007E1,-3.053660011E1,-3.097579956E1,4.495545366E1
1.563018817E0,1.209019947E1,-3.018280029E1,-2.999979973E1,4.423982754E1
1.573032245E0,1.179739952E1,-3.030480003E1,-3.004859924E1,4.427728376E1
1.583031513E0,1.179739952E1,-2.998760033E1,-3.098799896E1,4.470672084E1
1.593031757E0,1.154119968E1,-3.020719910E1,-3.132959938E1,4.502463731E1
1.603032001E0,9.088999748E0,-3.117099953E1,-3.151259995E1,4.524693452E1
1.613019305E0,1.199259949E1,-2.984119987E1,-3.129299927E1,4.487283650E1
1.623031757E0,1.204139996E1,-3.032919884E1,-2.998760033E1,4.431830083E1
1.633031757E0,1.199259949E1,-3.047559929E1,-2.996319962E1,4.438893923E1
1.643038593E0,1.051639938E1,-3.082939911E1,-3.123199844E1,4.512742218E1
1.653032245E0,1.150459957E1,-3.035359955E1,-3.097579956E1,4.486866362E1
1.663018329E0,1.185839939E1,-3.026819992E1,-3.090259933E1,4.485260537E1
1.673031513E0,1.095559978E1,-3.013399887E1,-3.224459839E1,4.547303794E1
1.683019550E0,1.083360004E1,-3.063419914E1,-3.097579956E1,4.489232903E1
1.693032245E0,1.184619999E1,-3.058539963E1,-3.029259872E1,4.464796369E1
1.703032001E0,1.151679993E1,-3.035359955E1,-3.075619888E1,4.472048139E1
1.713032001E0,1.172420025E1,-3.026819992E1,-3.018280029E1,4.432405928E1
1.723032001E0,1.082139969E1,-3.076840019E1,-3.019499969E1,4.444699257E1
1.733032245E0,8.515600204E0,-3.106119919E1,-4.022340012E1,5.152897688E1
1.743031757E0,1.128499985E1,-3.064639854E1,-2.999979973E1,4.434569820E1
1.753019061E0,1.160219955E1,-3.031699944E1,-3.085379982E1,4.478491323E1
1.763019061E0,1.174860001E1,-2.987779999E1,-3.091479874E1,4.456946618E1
1.773031757E0,1.091899967E1,-3.059759903E1,-3.117099953E1,4.502298115E1
1.783031757E0,1.105319977E1,-3.065859985E1,-3.134179878E1,4.521538810E1
1.793032245E0,1.091899967E1,-3.059759903E1,-3.128079987E1,4.509906940E1
1.803032001E0,1.211460018E1,-3.021939850E1,-3.107339859E1,4.500590720E1
1.813032001E0,9.149999619E0,-3.087819862E1,-3.242760086E1,4.570267980E1
1.823019061E0,1.039439964E1,-3.093919945E1,-3.134179878E1,4.525025920E1
