"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.566775610E-1,-4.879999906E-2,-4.207780075E1,-2.671800041E1,4.984370816E1
7.666770720E-1,2.805999815E-1,-4.113840103E1,-2.674239922E1,4.906732815E1
7.766773170E-1,1.427399993E0,-3.995499802E1,-2.865779877E1,4.919053534E1
7.866770720E-1,1.646999955E0,-3.936940002E1,-2.819419861E1,4.845178121E1
7.966770720E-1,3.903999925E-1,-3.864960098E1,-2.953619957E1,4.864494993E1
8.066773170E-1,1.866599917E0,-3.723439789E1,-2.959719849E1,4.760124725E1
8.166773170E-1,3.428200006E0,-3.608760071E1,-2.891399956E1,4.636902900E1
8.266643770E-1,3.940599918E0,-3.556299973E1,-2.868219948E1,4.585764761E1
8.366704810E-1,4.855599880E0,-3.342799759E1,-3.043899918E1,4.547021601E1
8.466770720E-1,4.367599964E0,-3.426979828E1,-2.940199852E1,4.536488202E1
8.566770720E-1,4.916599751E0,-3.311079788E1,-2.985339928E1,4.485223894E1
8.666773170E-1,5.965799809E0,-3.203720093E1,-3.112220001E1,4.506178363E1
8.766775610E-1,6.136600018E0,-3.107339859E1,-3.324499893E1,4.591779517E1
8.866770720E-1,7.515199661E0,-3.019499969E1,-3.276919937E1,4.518889974E1
8.966643770E-1,9.125599861E0,-2.917020035E1,-3.215919876E1,4.436655527E1
9.066770720E-1,7.515199661E0,-2.919459915E1,-3.342799759E1,4.501370756E1
9.166773170E-1,7.905600071E0,-2.854800034E1,-3.358660126E1,4.478332971E1
9.266641330E-1,6.929599762E0,-2.808440018E1,-3.381839752E1,4.450209992E1
9.366775610E-1,8.173999786E0,-2.718159866E1,-3.468460083E1,4.481824532E1
9.466768280E-1,8.052000046E0,-2.679119873E1,-3.523360062E1,4.498899473E1
9.566770720E-1,1.061399937E1,-2.480259895E1,-3.514820099E1,4.430826029E1
9.666641330E-1,7.820199966E0,-2.544919968E1,-3.667319870E1,4.531821703E1
9.766770720E-1,9.735599518E0,-2.436339951E1,-3.470899963E1,4.350944483E1
9.866770720E-1,1.017479992E1,-2.448539925E1,-3.478219986E1,4.373628650E1
9.966773170E-1,1.065059948E1,-2.378999901E1,-3.503839874E1,4.367022680E1
1.006664865E0,1.049199963E1,-2.348499870E1,-3.557519913E1,4.390013682E1
1.016677317E0,8.479000092E0,-2.336299896E1,-3.838119888E1,4.572569946E1
1.026664133E0,1.006499958E1,-2.289939880E1,-3.722219849E1,4.484616753E1
1.036676828E0,9.979599953E0,-2.243579865E1,-3.734420013E1,4.469392307E1
1.046676828E0,1.218779945E1,-2.103279877E1,-3.688059998E1,4.417125461E1
1.056676828E0,1.040660000E1,-2.213080025E1,-3.730759811E1,4.460859245E1
1.066677072E0,1.111419964E1,-2.103279877E1,-3.758819962E1,4.448344420E1
1.076665110E0,1.271239948E1,-2.056920052E1,-3.598999786E1,4.335870220E1
1.086677072E0,1.305399990E1,-2.060579872E1,-3.719779968E1,4.448238028E1
1.096677317E0,1.311499977E1,-1.988599968E1,-3.788100052E1,4.474847933E1
1.106677072E0,1.346879959E1,-1.955660057E1,-3.808839798E1,4.488424277E1
1.116677317E0,1.368839931E1,-1.958099937E1,-3.834460068E1,4.517849282E1
1.126677072E0,1.151679993E1,-1.999580002E1,-3.869839859E1,4.505590696E1
1.136677072E0,1.252939987E1,-2.031299973E1,-3.879599762E1,4.554923984E1
1.146664377E0,1.252939987E1,-2.069120026E1,-3.752719879E1,4.464753384E1
1.156676828E0,1.260260010E1,-1.980060005E1,-3.749060059E1,4.423159983E1
1.166676828E0,1.250500011E1,-2.020319939E1,-3.828359985E1,4.505750005E1
1.176676828E0,1.199259949E1,-2.065460014E1,-3.907659912E1,4.579754959E1
1.186677561E0,1.317599964E1,-1.992259979E1,-3.818600082E1,4.504095479E1
1.196677072E0,1.559159946E1,-1.854399872E1,-3.832019806E1,4.533668980E1
1.206677317E0,1.456680012E1,-1.991040039E1,-3.794199753E1,4.525716392E1
1.216677317E0,1.517679977E1,-1.916619873E1,-3.730759811E1,4.460420723E1
1.226678049E0,1.509140015E1,-1.920279884E1,-3.720999908E1,4.450934591E1
1.236677072E0,1.411539936E1,-2.003240013E1,-3.802740097E1,4.523963725E1
1.246677072E0,1.162659931E1,-2.063019943E1,-3.819820023E1,4.494313563E1
1.256664865E0,1.085799980E1,-2.063019943E1,-3.925959778E1,4.565979967E1
1.266676828E0,1.268799973E1,-2.069120026E1,-3.749060059E1,4.466157451E1
1.276676828E0,1.307839966E1,-2.027639961E1,-3.747840118E1,4.457361859E1
1.286676828E0,1.333459949E1,-1.998359871E1,-3.758819962E1,4.460973561E1
1.296677317E0,1.259039974E1,-2.098399925E1,-3.744179916E1,4.472957316E1
1.306677561E0,1.219999981E1,-2.120359993E1,-3.717340088E1,4.450049863E1
1.316664621E0,1.282219982E1,-2.058139992E1,-3.725880051E1,4.445470780E1
1.326664133E0,1.189499950E1,-2.113039970E1,-3.921080017E1,4.610283782E1
1.336677072E0,1.265139961E1,-2.144759941E1,-3.775899887E1,4.523051435E1
1.346677072E0,1.155340004E1,-2.116699982E1,-3.755159760E1,4.462785471E1
1.356677072E0,1.409099960E1,-2.111820030E1,-3.519699860E1,4.339773455E1
1.366677317E0,1.259039974E1,-2.109379959E1,-3.839339828E1,4.557981547E1
1.376677072E0,1.267579937E1,-2.137439919E1,-3.788100052E1,4.530464690E1
1.386677072E0,1.156559944E1,-2.244799995E1,-3.791759872E1,4.555677870E1
1.396668528E0,1.274899960E1,-2.139879990E1,-3.774679947E1,4.522462269E1
1.406677072E0,1.273680019E1,-2.208199883E1,-3.813719940E1,4.587250516E1
1.416663645E0,1.260260010E1,-2.170380020E1,-3.890579987E1,4.629839884E1
1.426677072E0,1.235859966E1,-2.213080025E1,-3.702700043E1,4.487210788E1
1.436665110E0,1.313939953E1,-2.149639893E1,-3.740520096E1,4.509864793E1
1.446676828E0,1.150459957E1,-2.305799866E1,-3.639260101E1,4.459202307E1
1.456665110E0,1.185839939E1,-2.283839989E1,-3.753939819E1,4.551286150E1
1.466677072E0,1.045539951E1,-2.253339958E1,-3.861299896E1,4.591332230E1
1.476676828E0,1.212679958E1,-2.221619987E1,-3.803960037E1,4.569058986E1
1.486677072E0,1.227320004E1,-2.210639954E1,-3.749060059E1,4.522023299E1
1.496677072E0,1.257819939E1,-2.222839928E1,-3.695380020E1,4.492099936E1
1.506664621E0,1.268799973E1,-2.248460007E1,-3.806399918E1,4.599359315E1
1.516664865E0,1.372499943E1,-2.169159889E1,-3.722219849E1,4.521496580E1
1.526676828E0,1.412759972E1,-2.177700043E1,-3.656340027E1,4.484093064E1
1.536677072E0,1.299300003E1,-2.247239876E1,-3.841780090E1,4.636544168E1
1.546677072E0,1.222439957E1,-2.286279869E1,-3.808839798E1,4.607460873E1
1.556677072E0,1.298079967E1,-2.241139984E1,-3.918639755E1,4.697175488E1
1.566676584E0,1.205359936E1,-2.349720001E1,-3.690499878E1,4.538046497E1
1.576664377E0,1.199259949E1,-2.282620049E1,-3.816159821E1,4.605611196E1
1.586677072E0,1.237080002E1,-2.255780029E1,-3.725880051E1,4.527813228E1
1.596677072E0,1.151679993E1,-2.353380013E1,-3.790539932E1,4.607923314E1
1.606677317E0,1.193159962E1,-2.311899948E1,-3.724660110E1,4.543303314E1
1.616672678E0,1.119960022E1,-2.315559959E1,-3.882040024E1,4.656861939E1
1.626676828E0,1.172420025E1,-2.337520027E1,-3.810059738E1,4.621160439E1
1.636676584E0,1.079699993E1,-2.338739967E1,-3.886919785E1,4.663003552E1
1.646677072E0,1.177299976E1,-2.330200005E1,-3.734420013E1,4.556507449E1
1.656677072E0,1.146799946E1,-2.387539864E1,-3.611199951E1,4.478421798E1
1.666677072E0,1.168760014E1,-2.320439911E1,-3.825920105E1,4.624727668E1
1.676677072E0,1.096780014E1,-2.314340019E1,-3.661219788E1,4.468067419E1
1.686664865E0,1.173639965E1,-2.282620049E1,-3.649020004E1,4.461292643E1
1.696676828E0,1.185839939E1,-2.258219910E1,-3.760039902E1,4.543530960E1
1.706677317E0,1.017479992E1,-2.344840050E1,-3.955239868E1,4.709295362E1
1.716676828E0,1.119960022E1,-2.353380013E1,-3.755159760E1,4.570988159E1
1.726676828E0,1.121179962E1,-2.339959908E1,-3.844219971E1,4.637939635E1
