"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
7.544554900E-1	2.479039955E1	-6.362299728E1	-4.510339737E1	8.183377144E1
7.644430390E-1	2.459519958E1	-6.352539825E1	-4.473740005E1	8.149745413E1
7.744552460E-1	2.461960030E1	-6.369619751E1	-4.446899796E1	8.149123925E1
7.844557340E-1	2.414379883E1	-6.357419968E1	-4.548159790E1	8.181184287E1
7.944554900E-1	2.420479965E1	-6.336679840E1	-4.562799835E1	8.175045993E1
8.044559780E-1	2.521739960E1	-6.339119720E1	-4.461539841E1	8.151622477E1
8.144425500E-1	2.535159874E1	-6.320819855E1	-4.483499908E1	8.153623161E1
8.244554900E-1	2.481480026E1	-6.362299728E1	-4.455439758E1	8.153989477E1
8.344552460E-1	2.492459869E1	-6.375719833E1	-4.449340057E1	8.164483238E1
8.444559780E-1	2.344840050E1	-6.374499893E1	-4.507899857E1	8.151912957E1
8.544554900E-1	2.387539864E1	-6.362299728E1	-4.554259872E1	8.180494326E1
8.644554900E-1	2.447319984E1	-6.319599915E1	-4.451779938E1	8.108332924E1
8.744559780E-1	2.446100044E1	-6.313499832E1	-4.550600052E1	8.157919244E1
8.844554900E-1	2.521739960E1	-6.243959808E1	-4.666500092E1	8.192827938E1
8.944559780E-1	2.471719933E1	-6.365959930E1	-4.445679855E1	8.148552917E1
9.044554900E-1	2.723040009E1	-6.256159973E1	-4.396879959E1	8.117083089E1
9.144552460E-1	2.680340004E1	-6.267139816E1	-4.361499786E1	8.092215049E1
9.244552460E-1	2.609580040E1	-6.302519989E1	-4.404199982E1	8.119645539E1
9.344554900E-1	2.497340012E1	-6.311059952E1	-4.505459976E1	8.146493383E1
9.444423060E-1	2.381439972E1	-6.358639908E1	-4.534740067E1	8.165012265E1
9.544554900E-1	2.460739899E1	-6.319599915E1	-4.523759842E1	8.152115495E1
9.644552460E-1	2.424139977E1	-6.353759766E1	-4.524979782E1	8.168363350E1
